depth_ask_at,depth_ask_lag1,depth_ask_lag10,depth_ask_lag3,depth_ask_lag5,depth_bid_at,depth_bid_lag1,depth_bid_lag10,depth_bid_lag3,depth_bid_lag5,imb_at,imb_delta_5_1,imb_lag1,imb_lag10,imb_lag3,imb_lag5,label,mid_lag1,mid_lag10,mid_lag3,mid_lag5,mid_pre5,price,product,qty,side,spread_at,spread_lag1,spread_lag10,spread_lag3,spread_lag5,ts
29,41,39,34,12,40,41,10,41,37,-0.45,0.0,0.0,0.0,-0.2631578947368421,0.0,R1,10007.0,10007.0,10012.0,10007.0,0.0,10017.0,ASH_COATED_OSMIUM,6,buy,19,16,16,6,16,168200
36,14,32,38,40,40,14,10,10,40,-0.42857142857142855,0.0,0.0,0.0,0.0,0.0,R1,10011.0,10008.0,10010.0,10009.0,2.0,10008.0,ASH_COATED_OSMIUM,2,sell,10,16,16,16,16,174700
38,37,38,35,38,13,37,10,35,10,0.0,0.0,0.0,0.0,0.0,0.0,R1,10010.0,10010.0,10010.0,10010.0,0.0,10002.0,ASH_COATED_OSMIUM,6,sell,16,16,16,16,16,175400
44,35,37,36,37,44,13,37,36,37,0.0,0.0,0.0,0.0,0.0,0.0,R1,10010.0,10010.0,10010.0,10010.0,0.0,10002.0,ASH_COATED_OSMIUM,10,sell,16,16,16,16,16,175800
21,37,28,27,19,35,37,28,27,19,-0.75,0.0,0.0,0.0,0.0,0.0,R1,13179.0,13178.0,13179.0,13178.5,0.5,13175.0,INTARIAN_PEPPER_ROOT,4,sell,14,14,14,14,21,179200
15,,29,13,42,40,,39,25,42,0.0,,,-0.48717948717948717,0.3157894736842105,0.0,R1,,10011.0,10008.0,10010.0,,10017.0,ASH_COATED_OSMIUM,2,buy,16,,18,18,16,181000
15,,29,13,42,40,,39,25,42,0.0,,,-0.48717948717948717,0.3157894736842105,0.0,R1,,10011.0,10008.0,10010.0,,10017.0,ASH_COATED_OSMIUM,10,buy,16,,18,18,16,181000
30,31,42,40,23,30,31,42,40,13,0.0,0.2777777777777778,0.0,0.0,0.0,-0.2777777777777778,R1,10010.0,10009.0,10009.0,10010.0,0.0,10018.0,ASH_COATED_OSMIUM,10,buy,16,16,16,16,18,181600
38,11,33,26,26,18,41,38,12,31,-0.4444444444444444,0.6774193548387096,0.0,-0.375,-0.3684210526315789,-0.6774193548387096,R1,10009.0,10012.0,10010.5,10013.5,-4.5,10007.0,ASH_COATED_OSMIUM,5,sell,10,16,10,19,13,184700
35,43,29,22,28,35,43,43,36,10,0.0,0.47368421052631576,0.0,-0.3488372093023256,-0.2222222222222222,-0.47368421052631576,R1,10011.0,10012.5,10013.0,10013.0,-2.0,10003.0,ASH_COATED_OSMIUM,7,sell,16,16,19,18,18,190100
35,38,24,35,23,23,38,38,35,14,0.3142857142857143,0.24324324324324326,0.0,-0.2631578947368421,0.0,-0.24324324324324326,R1,10011.0,10013.0,10011.0,10012.5,-1.5,10019.0,ASH_COATED_OSMIUM,9,buy,19,16,18,16,19,190400
16,11,,32,,18,30,,29,,0.5652173913043478,,0.0,,-0.14285714285714285,,R1,13194.0,,13191.5,,,13190.0,INTARIAN_PEPPER_ROOT,3,buy,6,14,,9,,194400
36,,38,24,39,36,,42,39,39,0.0,,,-0.5,-0.23076923076923078,0.0,R1,,10009.5,10006.5,10004.0,,10013.0,ASH_COATED_OSMIUM,4,buy,16,,7,19,16,198200
34,34,39,40,,21,24,24,40,,0.23529411764705882,,0.4117647058823529,0.23076923076923078,0.0,,R1,10004.0,10003.0,10005.0,,,10013.0,ASH_COATED_OSMIUM,6,buy,18,18,18,16,,198600
15,30,33,27,,29,30,33,27,,-0.5789473684210527,,0.0,0.0,0.0,,R1,13207.5,13206.5,13207.0,,,13211.0,INTARIAN_PEPPER_ROOT,4,sell,7,15,15,14,,207600
23,32,31,30,30,10,32,26,30,11,-0.3939393939393939,0.0,0.0,0.2857142857142857,0.0,0.0,R1,13211.0,13204.5,13211.0,13211.0,0.0,13204.0,INTARIAN_PEPPER_ROOT,3,sell,18,14,3,14,14,211300
30,12,10,33,31,30,29,10,33,31,0.0,-0.4117647058823529,-0.4117647058823529,0.0,0.0,0.0,R1,13214.5,13211.5,13212.0,13212.0,2.5,13205.0,INTARIAN_PEPPER_ROOT,5,sell,15,11,15,14,14,212500
25,37,40,,21,10,37,30,,21,0.42857142857142855,0.0,0.0,0.5,,0.0,R1,10003.0,10003.0,,10003.5,-0.5,10005.0,ASH_COATED_OSMIUM,4,buy,9,16,18,,21,213400
34,27,,,34,34,27,,,34,0.0,0.0,0.0,,,0.0,R1,13214.0,,,13213.5,0.5,13207.0,INTARIAN_PEPPER_ROOT,3,sell,14,14,,,15,214100
24,36,18,35,11,24,36,28,35,26,0.0,0.0,0.0,-0.2857142857142857,0.0,0.0,R1,13216.0,13217.0,13216.0,13216.0,0.0,13209.0,INTARIAN_PEPPER_ROOT,7,sell,14,14,18,14,14,216300
21,42,41,41,38,36,31,41,41,38,-0.8260869565217391,-0.6470588235294118,-0.6470588235294118,0.0,0.0,0.0,R1,10007.0,10005.0,10005.0,10005.0,2.0,10002.0,ASH_COATED_OSMIUM,2,sell,13,10,16,16,16,216900
24,32,32,12,25,28,32,11,30,25,-0.7142857142857143,0.0,0.0,0.0,0.0,0.0,R1,13217.0,13216.0,13217.0,13216.5,0.5,13221.0,INTARIAN_PEPPER_ROOT,4,sell,7,14,14,14,15,217100
35,12,24,32,12,35,29,24,32,30,0.0,0.0,0.0,0.0,0.0,0.0,R1,13217.0,13216.0,13217.0,13217.0,0.0,13210.0,INTARIAN_PEPPER_ROOT,6,sell,14,14,14,14,14,217300
12,30,21,32,40,42,30,36,32,26,0.0,-0.3,0.0,-0.8260869565217391,0.0,0.3,R1,10005.0,10008.5,10005.0,10003.5,1.5,10013.0,ASH_COATED_OSMIUM,2,buy,16,16,13,16,19,217900
5,39,34,38,39,15,26,34,14,11,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,R1,10000.0,10003.0,10001.0,10002.0,-2.0,10003.0,ASH_COATED_OSMIUM,5,buy,10,18,16,16,16,220300
45,,14,14,24,45,,44,14,15,0.0,,,0.0,0.0,-0.23076923076923078,R1,,10000.0,10000.0,10001.0,,10007.0,ASH_COATED_OSMIUM,3,buy,16,,16,16,18,225400
36,41,28,,14,36,41,38,,14,0.0,0.0,0.0,-0.47368421052631576,,0.0,R1,9998.0,10002.0,,10000.0,-2.0,10006.0,ASH_COATED_OSMIUM,5,buy,16,16,18,,16,225600
37,32,35,41,,26,32,35,41,,0.40540540540540543,,0.0,0.0,0.0,,R1,9998.0,10000.0,9998.0,,,10006.0,ASH_COATED_OSMIUM,6,buy,19,16,16,16,,225800
37,30,14,37,36,37,20,14,26,36,0.0,0.3333333333333333,0.3333333333333333,0.0,0.40540540540540543,0.0,R1,9997.0,10000.0,9996.5,9998.0,-1.0,10007.0,ASH_COATED_OSMIUM,3,buy,16,18,16,19,16,226100
31,,,,28,31,,,,28,0.0,,,,,0.0,R1,,,,13231.0,,13225.0,INTARIAN_PEPPER_ROOT,7,sell,14,,,,14,231700
38,37,22,,37,38,11,32,,37,0.0,0.0,0.0,-0.375,,0.0,R1,9996.0,9997.5,,9996.0,0.0,10004.0,ASH_COATED_OSMIUM,7,buy,16,16,19,,16,234700
42,24,31,33,30,12,9,9,33,30,0.3333333333333333,-0.45454545454545453,-0.45454545454545453,0.0,0.0,0.0,R1,13241.0,13238.5,13239.0,13239.0,2.0,13235.0,INTARIAN_PEPPER_ROOT,4,buy,3,18,15,14,14,239400
8,29,16,34,,8,29,26,34,,0.0,,0.0,-0.23076923076923078,0.0,,R1,13242.0,13243.0,13242.0,,,13235.0,INTARIAN_PEPPER_ROOT,4,sell,14,14,18,14,,242200
39,34,8,33,31,31,11,25,25,23,0.1111111111111111,-0.4838709677419355,0.0,0.0,0.5151515151515151,0.4838709677419355,R1,13251.0,13250.0,13249.0,13249.0,2.0,13247.0,INTARIAN_PEPPER_ROOT,3,buy,3,14,14,18,18,251200
30,24,33,9,34,30,9,12,38,34,0.0,0.0,0.0,0.0,-0.2,0.0,R1,13252.5,13252.0,13258.0,13252.0,0.5,13246.0,INTARIAN_PEPPER_ROOT,5,sell,14,15,14,4,14,252700
21,27,32,29,16,33,27,32,11,26,-0.2727272727272727,0.23076923076923078,0.0,0.0,0.0,-0.23076923076923078,R1,13256.0,13255.5,13256.0,13257.5,-1.5,13249.0,INTARIAN_PEPPER_ROOT,6,sell,18,14,15,14,17,256400
19,17,30,33,24,27,25,12,33,24,-0.4074074074074074,-0.36,-0.36,0.0,0.0,0.0,R1,13272.5,13270.0,13271.0,13270.5,2.0,13264.0,INTARIAN_PEPPER_ROOT,6,sell,18,17,14,14,15,271100
32,24,11,31,8,32,24,28,31,30,0.0,0.0,0.0,0.0,0.0,0.0,R1,13272.5,13271.5,13272.0,13272.0,0.5,13265.0,INTARIAN_PEPPER_ROOT,5,sell,15,21,15,14,14,272400
29,25,31,28,30,29,25,31,28,20,0.0,-0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,R1,13275.5,13274.5,13275.0,13273.5,2.0,13268.0,INTARIAN_PEPPER_ROOT,4,sell,15,15,15,14,17,275500
26,29,30,25,27,8,29,22,15,11,0.0,0.0,0.0,0.4666666666666667,0.2,0.0,R1,13278.0,13275.5,13276.0,13277.5,0.5,13271.0,INTARIAN_PEPPER_ROOT,4,sell,14,14,17,18,15,278100
22,31,37,32,34,34,31,37,32,34,-0.29411764705882354,0.0,0.0,0.0,0.0,0.0,R1,13279.0,13278.0,13278.5,13278.5,0.5,13272.0,INTARIAN_PEPPER_ROOT,7,sell,17,14,14,15,15,278900
16,27,16,11,29,27,27,16,11,10,-0.18518518518518517,0.0,0.0,0.0,0.0,0.0,R1,13282.0,13281.0,13282.0,13281.5,0.5,13275.0,INTARIAN_PEPPER_ROOT,7,sell,17,14,20,14,15,282000
10,42,26,,13,13,42,38,,38,-0.5384615384615384,0.0,0.0,-0.3684210526315789,,0.0,R1,9995.5,9997.0,,9996.0,-0.5,9997.0,ASH_COATED_OSMIUM,4,sell,7,15,18,,16,287000
10,30,34,10,22,32,22,34,29,34,0.0,0.7607843137254902,0.4666666666666667,0.0,0.0,-0.29411764705882354,R1,13286.5,13287.0,13288.0,13289.5,-3.0,13281.0,INTARIAN_PEPPER_ROOT,6,sell,14,17,14,14,17,288300
37,33,,33,8,9,33,,28,33,-0.05263157894736842,0.0,0.0,,0.23076923076923078,0.0,R1,13297.0,,13291.0,13297.0,0.0,13290.0,INTARIAN_PEPPER_ROOT,7,sell,9,14,,2,14,297200
28,,28,17,10,33,,28,10,25,-0.375,,,0.0,-0.25925925925925924,0.0,R1,,13312.0,13314.5,13312.5,,13316.0,INTARIAN_PEPPER_ROOT,5,sell,4,,14,17,15,313000
22,29,35,11,37,22,29,24,29,25,0.0,-0.35135135135135137,0.0,0.37142857142857144,0.0,0.35135135135135137,R1,13361.0,13359.0,13361.0,13359.0,2.0,13351.0,INTARIAN_PEPPER_ROOT,3,sell,21,14,18,14,18,361400
30,26,33,19,28,30,26,10,9,28,0.0,0.0,0.0,0.0,-0.35714285714285715,0.0,R1,13376.0,13375.0,13377.0,13375.0,1.0,13369.0,INTARIAN_PEPPER_ROOT,5,sell,14,14,14,18,14,375800
17,,26,31,28,25,,26,31,28,-0.36,,,0.0,0.0,0.0,R1,,13376.0,13376.5,13376.0,,13370.0,INTARIAN_PEPPER_ROOT,4,sell,17,,14,15,14,376700
50,25,34,38,40,44,39,34,13,40,0.42857142857142855,-0.28205128205128205,-0.28205128205128205,0.0,0.0,0.0,R1,10004.5,10004.0,10004.0,10003.0,1.5,10001.0,ASH_COATED_OSMIUM,4,buy,6,19,16,16,16,377200
10,11,29,,28,35,17,29,,28,0.0,0.21428571428571427,0.21428571428571427,0.0,,0.0,R1,13386.0,13386.5,,13387.0,-1.0,13380.0,INTARIAN_PEPPER_ROOT,5,sell,15,18,15,,14,387600
28,31,37,26,28,28,31,37,26,28,0.0,0.0,0.0,0.0,0.0,0.0,R1,13391.5,13390.5,13391.0,13391.0,0.5,13384.0,INTARIAN_PEPPER_ROOT,4,sell,15,15,15,14,14,391600
37,,26,10,,32,,26,30,,0.375,,,0.0,0.0,,R1,,13391.0,13392.0,,,13388.0,INTARIAN_PEPPER_ROOT,5,buy,3,,14,14,,392300
16,34,10,,31,32,23,17,,31,-0.3333333333333333,0.35294117647058826,0.35294117647058826,0.25925925925925924,,0.0,R1,13394.0,13393.0,,13395.5,-1.5,13400.0,INTARIAN_PEPPER_ROOT,8,sell,7,18,18,,15,396000
23,25,18,30,24,26,34,29,12,12,0.15789473684210525,-0.13725490196078433,-0.47058823529411764,-0.2413793103448276,0.0,-0.3333333333333333,R1,13402.0,13401.0,13400.0,13401.0,1.0,13396.0,INTARIAN_PEPPER_ROOT,8,buy,3,18,18,14,18,400100
25,29,31,17,,33,29,31,17,,-0.5151515151515151,,0.0,0.0,0.0,,R1,13402.0,13401.0,13401.5,,,13395.0,INTARIAN_PEPPER_ROOT,6,sell,18,14,14,21,,402200
28,33,37,32,17,24,23,25,32,25,-0.3333333333333333,0.7539393939393939,0.3939393939393939,0.35135135135135137,0.0,-0.36,R1,13402.5,13401.5,13404.0,13405.0,-2.5,13408.0,INTARIAN_PEPPER_ROOT,4,sell,3,17,17,14,18,404200
16,8,26,15,15,33,31,26,15,15,-0.5238095238095238,0.0,0.0,0.0,0.0,0.0,R1,13406.5,13405.5,13406.5,13405.5,1.0,13410.0,INTARIAN_PEPPER_ROOT,5,sell,7,15,15,21,21,406400
10,42,26,33,39,10,42,39,33,39,0.0,0.0,0.0,-0.3333333333333333,0.0,0.0,R1,10000.0,10002.5,10001.0,10001.0,-1.0,10009.0,ASH_COATED_OSMIUM,2,buy,16,16,19,16,16,410500
20,26,19,28,24,38,16,29,28,8,-0.48148148148148145,0.7307692307692308,0.23076923076923078,-0.3103448275862069,0.0,-0.5,R1,13409.5,13412.0,13411.0,13412.0,-2.5,13415.0,INTARIAN_PEPPER_ROOT,7,sell,7,17,18,14,18,411200
29,20,31,16,11,17,38,31,27,30,-0.17647058823529413,-0.48148148148148145,-0.48148148148148145,0.0,-0.18518518518518517,0.0,R1,13418.5,13410.5,13413.0,13411.0,7.5,13415.0,INTARIAN_PEPPER_ROOT,7,sell,4,7,15,18,14,411300
32,24,10,14,39,32,36,29,43,39,0.0,-0.3333333333333333,-0.3333333333333333,0.48717948717948717,0.0,0.0,R1,10002.0,10001.0,10001.0,10002.0,0.0,10009.0,ASH_COATED_OSMIUM,4,buy,16,18,18,16,16,412500
26,9,33,26,23,29,25,23,26,8,-0.5384615384615384,0.0,0.0,0.3939393939393939,0.0,0.0,R1,13415.5,13413.0,13415.5,13415.0,0.5,13419.0,INTARIAN_PEPPER_ROOT,3,sell,4,15,18,15,14,415700
19,10,24,24,,35,25,24,24,,-0.52,,0.0,0.0,0.0,,R1,13420.0,13419.0,13419.5,,,13423.0,INTARIAN_PEPPER_ROOT,6,sell,7,14,14,15,,419900
15,9,31,28,11,16,9,31,28,11,-0.36363636363636365,0.0,0.0,0.0,0.0,0.0,R1,13424.5,13423.5,13424.0,13424.0,0.5,13428.0,INTARIAN_PEPPER_ROOT,7,sell,7,15,15,14,14,424500
25,34,30,27,29,40,11,30,27,29,-0.6666666666666666,0.0,0.0,0.0,0.0,0.0,R1,13431.0,13430.0,13430.5,13430.5,0.5,13435.0,INTARIAN_PEPPER_ROOT,5,sell,7,14,14,15,15,431000
11,18,10,32,26,35,28,10,32,26,0.0,-0.2857142857142857,-0.2857142857142857,0.0,0.0,0.0,R1,13435.0,13432.5,13433.0,13433.0,2.0,13441.0,INTARIAN_PEPPER_ROOT,7,buy,15,18,15,14,14,433500
25,32,11,26,25,33,32,31,26,35,0.15789473684210525,0.42857142857142855,0.0,0.0,0.0,-0.42857142857142855,R1,13435.0,13434.5,13435.0,13436.5,-1.5,13431.0,INTARIAN_PEPPER_ROOT,4,buy,3,14,15,14,17,435300
41,12,23,37,30,34,30,35,37,30,0.2222222222222222,0.0,0.0,-0.3142857142857143,0.0,0.0,R1,13438.0,13439.0,13437.5,13437.5,0.5,13433.0,INTARIAN_PEPPER_ROOT,7,buy,2,14,18,15,15,438000
26,8,29,34,37,26,26,29,9,21,0.0,-0.4482758620689655,0.0,0.0,0.0,0.4482758620689655,R1,13439.0,13438.0,13439.0,13434.5,4.5,13432.0,INTARIAN_PEPPER_ROOT,7,sell,14,14,14,14,13,439100
38,11,36,31,16,32,35,36,21,28,0.29411764705882354,0.14285714285714285,0.0,0.0,0.3548387096774194,-0.14285714285714285,R1,13455.0,13454.0,13453.0,13456.0,-1.0,13451.0,INTARIAN_PEPPER_ROOT,4,buy,3,14,14,18,18,455200
23,8,35,10,8,8,25,24,10,18,0.0,-0.38461538461538464,0.0,0.37142857142857144,0.0,0.38461538461538464,R1,13456.5,13454.0,13456.0,13454.0,2.5,13449.0,INTARIAN_PEPPER_ROOT,4,sell,15,15,18,14,18,456500
33,15,22,29,31,41,25,31,29,11,-0.1111111111111111,-0.2,-0.2,-0.41935483870967744,0.0,0.0,R1,13467.0,13466.0,13465.0,13465.0,2.0,13469.0,INTARIAN_PEPPER_ROOT,8,sell,4,18,18,14,14,465300
23,29,28,29,20,8,21,10,21,32,0.0,0.6982758620689655,0.4482758620689655,0.0,0.4482758620689655,-0.25,R1,13477.0,13477.5,13477.0,13480.0,-3.0,13471.0,INTARIAN_PEPPER_ROOT,4,sell,15,18,15,18,18,478700
24,32,25,21,28,9,32,25,30,28,0.0,0.0,0.0,0.0,-0.4,0.0,R1,13483.5,13482.5,13485.0,13483.0,0.5,13476.0,INTARIAN_PEPPER_ROOT,7,sell,15,15,15,18,14,483700
24,31,44,36,30,24,12,25,12,8,0.0,0.0,0.0,0.5625,0.0,0.0,R1,13484.5,13476.0,13484.5,13484.5,0.0,13478.0,INTARIAN_PEPPER_ROOT,7,sell,14,15,6,15,15,484800
30,,33,24,24,30,,33,24,36,0.0,,,0.0,0.0,-0.3333333333333333,R1,,13484.0,13485.0,13486.0,,13478.0,INTARIAN_PEPPER_ROOT,6,sell,14,,14,14,18,485100
38,37,41,40,5,38,37,11,40,44,0.0,-0.5,0.0,0.0,0.0,0.5,R1,9995.0,9994.0,9994.0,9992.0,3.0,10002.0,ASH_COATED_OSMIUM,5,buy,16,16,16,16,10,490600
25,31,31,32,27,41,31,31,22,10,-0.6666666666666666,0.0,0.0,0.0,0.375,0.0,R1,13491.0,13490.0,13489.0,13490.5,0.5,13494.0,INTARIAN_PEPPER_ROOT,5,sell,8,14,14,18,15,490900
8,34,25,30,31,29,34,25,30,31,0.0,0.0,0.0,0.0,0.0,0.0,R1,13491.0,13490.5,13491.0,13491.0,0.0,13484.0,INTARIAN_PEPPER_ROOT,6,sell,15,14,15,14,14,491300
36,,38,14,41,12,,38,28,13,0.0,,,0.0,0.3333333333333333,0.0,R1,,9994.0,9993.0,9994.0,,10002.0,ASH_COATED_OSMIUM,4,buy,16,,16,18,16,491900
35,39,34,31,31,35,15,14,31,20,0.0,-0.2903225806451613,0.0,0.0,0.0,0.2903225806451613,R1,9995.0,9994.0,9995.0,9993.0,2.0,9986.0,ASH_COATED_OSMIUM,4,sell,16,16,16,16,18,496000
31,24,10,34,11,26,16,28,34,31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,R1,13494.0,13495.0,13496.0,13495.5,-1.5,13489.0,INTARIAN_PEPPER_ROOT,5,sell,3,18,14,14,15,496200
31,24,10,34,11,26,16,28,34,31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,R1,13494.0,13495.0,13496.0,13495.5,-1.5,13492.0,INTARIAN_PEPPER_ROOT,5,buy,3,18,14,14,15,496200
20,42,12,36,11,20,42,34,24,34,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,R1,9995.0,9995.0,9994.0,9995.0,0.0,9984.0,ASH_COATED_OSMIUM,6,sell,21,16,16,18,16,497500
23,12,42,20,43,35,35,42,31,43,-0.3142857142857143,0.0,0.0,0.0,-0.2903225806451613,0.0,R1,9997.0,9995.0,9996.5,9996.0,1.0,9988.0,ASH_COATED_OSMIUM,5,sell,18,16,16,19,16,498400
22,12,44,35,44,34,36,52,40,44,-0.29411764705882354,0.0,0.0,-0.2727272727272727,-0.5,0.0,R1,9999.0,10002.0,10001.0,9998.0,1.0,9990.0,ASH_COATED_OSMIUM,3,sell,19,16,6,10,16,505800
37,22,10,11,27,10,34,35,31,37,0.0,0.16534181240063595,-0.29411764705882354,0.0,0.0,-0.4594594594594595,R1,9999.5,9997.0,9998.0,9999.5,0.0,9990.0,ASH_COATED_OSMIUM,8,sell,16,19,16,16,19,505900
