label,ts,product,price,qty,side,bp1,bv1,ap1,av1,spread,mid,imb,mid_fwd_1,mid_fwd_10,mid_fwd_50,dt_last_take
R1,154200,ASH_COATED_OSMIUM,10000.0,5,sell,10000,11,10016,11,16,10008.0,0.0,0.0,0.0,-1.0,57400
R1,165500,INTARIAN_PEPPER_ROOT,13161.0,4,buy,13155,19,13161,4,6,13158.0,0.6521739130434783,8.0,10.0,12.5,14900
R1,168200,ASH_COATED_OSMIUM,10017.0,6,buy,9998,11,10017,29,19,10007.5,-0.45,-2.5,-0.5,-0.5,14000
R1,174700,ASH_COATED_OSMIUM,10008.0,2,sell,10008,4,10018,10,10,10013.0,-0.42857142857142855,-3.0,-3.0,-3.0,6500
R1,175400,ASH_COATED_OSMIUM,10002.0,6,sell,10002,13,10018,13,16,10010.0,0.0,0.0,-1.0,0.0,700
R1,175800,ASH_COATED_OSMIUM,10002.0,10,sell,10002,15,10018,15,16,10010.0,0.0,-3.0,3.0,0.0,400
R1,179200,INTARIAN_PEPPER_ROOT,13175.0,4,sell,13176,3,13190,21,14,13183.0,-0.75,-4.0,-3.0,1.0,13700
R1,181000,ASH_COATED_OSMIUM,10017.0,2,buy,10001,15,10017,15,16,10009.0,0.0,1.0,1.0,0.0,5200
R1,181000,ASH_COATED_OSMIUM,10017.0,10,buy,10001,15,10017,15,16,10009.0,0.0,1.0,1.0,0.0,0
R1,181600,ASH_COATED_OSMIUM,10018.0,10,buy,10002,10,10018,10,16,10010.0,0.0,-1.5,0.0,0.0,600
R1,184700,ASH_COATED_OSMIUM,10007.0,5,sell,10007,5,10017,13,10,10012.0,-0.4444444444444444,-3.5,-3.0,0.0,3100
R1,190100,ASH_COATED_OSMIUM,10003.0,7,sell,10003,13,10019,13,16,10011.0,0.0,0.0,-0.5,-5.5,5400
R1,190400,ASH_COATED_OSMIUM,10019.0,9,buy,10000,23,10019,12,19,10009.5,0.3142857142857143,0.5,0.0,-4.0,300
R1,194400,INTARIAN_PEPPER_ROOT,13190.0,3,buy,13184,18,13190,5,6,13187.0,0.5652173913043478,7.5,8.0,14.0,15200
R1,198200,ASH_COATED_OSMIUM,10013.0,4,buy,9997,15,10013,15,16,10005.0,0.0,0.0,-1.0,-4.0,7800
R1,198600,ASH_COATED_OSMIUM,10013.0,6,buy,9995,21,10013,13,18,10004.0,0.23529411764705882,1.0,0.0,-4.5,400
R1,207600,INTARIAN_PEPPER_ROOT,13211.0,4,sell,13211,4,13218,15,7,13214.5,-0.5789473684210527,-6.5,-6.0,-2.0,13200
R1,211300,INTARIAN_PEPPER_ROOT,13204.0,3,sell,13204,10,13222,23,18,13213.0,-0.3939393939393939,-1.5,1.5,3.0,3700
R1,212500,INTARIAN_PEPPER_ROOT,13205.0,5,sell,13205,9,13220,9,15,13212.5,0.0,0.0,1.0,3.5,1200
R1,213400,ASH_COATED_OSMIUM,10005.0,4,buy,9996,10,10005,4,9,10000.5,0.42857142857142855,2.0,4.5,3.5,14800
R1,213400,INTARIAN_PEPPER_ROOT,13206.0,7,None,0,0,0,0,0,0,0.0,nan,nan,nan,900
R1,214100,INTARIAN_PEPPER_ROOT,13207.0,3,sell,13207,11,13221,11,14,13214.0,0.0,0.0,1.0,7.0,700
R1,215600,ASH_COATED_OSMIUM,9997.0,9,None,0,0,0,0,0,0,0.0,nan,nan,nan,2200
R1,216300,INTARIAN_PEPPER_ROOT,13209.0,7,sell,13209,8,13223,8,14,13216.0,0.0,0.5,1.0,5.0,2200
R1,216900,ASH_COATED_OSMIUM,10002.0,2,sell,10002,2,10015,21,13,10008.5,-0.8260869565217391,-9.5,-3.5,-9.5,1300
R1,217100,INTARIAN_PEPPER_ROOT,13221.0,4,sell,13221,4,13228,24,7,13224.5,-0.7142857142857143,-7.5,-6.5,-2.5,800
R1,217300,INTARIAN_PEPPER_ROOT,13210.0,6,sell,13210,10,13224,10,14,13217.0,0.0,0.5,1.5,5.0,200
R1,217900,ASH_COATED_OSMIUM,10013.0,2,buy,9997,12,10013,12,16,10005.0,0.0,0.0,1.5,-6.0,1000
R1,220300,ASH_COATED_OSMIUM,10003.0,5,buy,9993,15,10003,5,10,9998.0,0.5,3.0,3.0,1.0,2400
R1,225400,ASH_COATED_OSMIUM,10007.0,3,buy,9991,15,10007,15,16,9999.0,0.0,-1.0,-1.0,-1.0,5100
R1,225600,ASH_COATED_OSMIUM,10006.0,5,buy,9990,12,10006,12,16,9998.0,0.0,0.0,1.0,-1.0,200
R1,225800,ASH_COATED_OSMIUM,10006.0,6,buy,9987,26,10006,11,19,9996.5,0.40540540540540543,0.0,2.5,1.5,200
R1,226100,ASH_COATED_OSMIUM,10007.0,3,buy,9991,13,10007,13,16,9999.0,0.0,0.0,0.0,-1.0,300
R1,231700,INTARIAN_PEPPER_ROOT,13225.0,7,sell,13225,8,13239,8,14,13232.0,0.0,-2.0,1.0,7.0,14400
R1,234700,ASH_COATED_OSMIUM,10004.0,7,buy,9988,12,10004,12,16,9996.0,0.0,0.0,0.0,0.0,8600
R1,236900,INTARIAN_PEPPER_ROOT,13231.0,3,sell,13230,10,13244,10,14,13237.0,0.0,0.0,6.0,5.0,5200
R1,239400,INTARIAN_PEPPER_ROOT,13235.0,4,buy,13232,12,13235,6,3,13233.5,0.3333333333333333,6.0,7.0,11.0,2500
R1,240200,INTARIAN_PEPPER_ROOT,13244.0,3,None,0,0,0,0,0,0,0.0,nan,nan,nan,800
R1,242200,INTARIAN_PEPPER_ROOT,13235.0,4,sell,13235,8,13249,8,14,13242.0,0.0,0.0,1.0,3.5,2000
R1,251200,INTARIAN_PEPPER_ROOT,13247.0,3,buy,13244,10,13247,8,3,13245.5,0.1111111111111111,5.5,6.5,8.0,9000
R1,252700,INTARIAN_PEPPER_ROOT,13246.0,5,sell,13246,8,13260,8,14,13253.0,0.0,0.0,2.5,5.0,1500
R1,256400,INTARIAN_PEPPER_ROOT,13249.0,6,sell,13249,12,13267,21,18,13258.0,-0.2727272727272727,-3.0,-0.5,3.5,3700
R1,271100,INTARIAN_PEPPER_ROOT,13264.0,6,sell,13264,8,13282,19,18,13273.0,-0.4074074074074074,0.0,-1.0,3.0,14700
R1,272400,INTARIAN_PEPPER_ROOT,13265.0,5,sell,13265,8,13280,8,15,13272.5,0.0,0.0,2.5,3.5,1300
R1,275300,INTARIAN_PEPPER_ROOT,13279.0,8,None,0,0,0,0,0,0,0.0,nan,nan,nan,2900
R1,275500,INTARIAN_PEPPER_ROOT,13268.0,4,sell,13268,10,13283,10,15,13275.5,0.0,1.5,1.0,5.0,200
R1,278100,INTARIAN_PEPPER_ROOT,13271.0,4,sell,13271,8,13285,8,14,13278.0,0.0,0.0,1.5,5.0,2600
R1,278900,INTARIAN_PEPPER_ROOT,13272.0,7,sell,13272,12,13289,22,17,13280.5,-0.29411764705882354,0.0,-0.5,3.0,800
R1,282000,INTARIAN_PEPPER_ROOT,13275.0,7,sell,13275,11,13292,16,17,13283.5,-0.18518518518518517,0.5,-2.0,3.5,3100
R1,287000,ASH_COATED_OSMIUM,9997.0,4,sell,9997,3,10004,10,7,10000.5,-0.5384615384615384,-4.5,-4.0,-5.5,52300
R1,288300,INTARIAN_PEPPER_ROOT,13281.0,6,sell,13281,10,13295,10,14,13288.0,0.0,-1.0,-0.5,5.0,6300
R1,297200,INTARIAN_PEPPER_ROOT,13290.0,7,sell,13290,9,13299,10,9,13294.5,-0.05263157894736842,2.5,3.5,9.5,8900
R1,313000,INTARIAN_PEPPER_ROOT,13316.0,5,sell,13316,5,13320,11,4,13318.0,-0.375,-6.5,-5.5,0.0,15800
R1,321700,INTARIAN_PEPPER_ROOT,13329.0,3,None,0,0,0,0,0,0,0.0,nan,nan,nan,8700
R1,324300,ASH_COATED_OSMIUM,9994.0,4,None,0,0,0,0,0,0,0.0,nan,nan,nan,37300
R1,329500,INTARIAN_PEPPER_ROOT,13323.0,3,sell,13322,12,13337,12,15,13329.5,0.0,0.0,1.0,5.0,7800
R1,361400,INTARIAN_PEPPER_ROOT,13351.0,3,sell,13351,22,13372,22,21,13361.5,0.0,0.0,1.0,5.0,31900
R1,375800,INTARIAN_PEPPER_ROOT,13369.0,5,sell,13369,12,13383,12,14,13376.0,0.0,0.0,1.0,6.5,14400
R1,376700,INTARIAN_PEPPER_ROOT,13370.0,4,sell,13370,8,13387,17,17,13378.5,-0.36,-1.5,-0.5,3.5,900
R1,377200,ASH_COATED_OSMIUM,10001.0,4,buy,9995,15,10001,6,6,9998.0,0.42857142857142855,5.0,6.0,8.5,52900
R1,379400,INTARIAN_PEPPER_ROOT,13372.0,3,None,0,0,0,0,0,0,0.0,nan,nan,nan,2700
R1,387600,INTARIAN_PEPPER_ROOT,13380.0,5,sell,13380,10,13395,10,15,13387.5,0.0,0.5,3.0,5.0,8200
R1,391600,INTARIAN_PEPPER_ROOT,13384.0,4,sell,13384,9,13399,9,15,13391.5,0.0,0.5,1.0,5.0,4000
R1,392300,INTARIAN_PEPPER_ROOT,13388.0,5,buy,13385,11,13388,5,3,13386.5,0.375,6.0,6.5,12.5,700
R1,396000,INTARIAN_PEPPER_ROOT,13400.0,8,sell,13400,8,13407,16,7,13403.5,-0.3333333333333333,-7.5,-6.5,-4.5,3700
R1,400100,INTARIAN_PEPPER_ROOT,13396.0,8,buy,13393,11,13396,8,3,13394.5,0.15789473684210525,5.5,6.5,10.5,4100
R1,402200,INTARIAN_PEPPER_ROOT,13395.0,6,sell,13395,8,13413,25,18,13404.0,-0.5151515151515151,-2.0,-2.5,3.0,2100
R1,404200,INTARIAN_PEPPER_ROOT,13408.0,4,sell,13408,4,13411,8,3,13409.5,-0.3333333333333333,-3.5,-4.5,-0.5,2000
R1,406400,INTARIAN_PEPPER_ROOT,13410.0,5,sell,13410,5,13417,16,7,13413.5,-0.5238095238095238,-7.0,-6.0,-2.0,2200
R1,410500,ASH_COATED_OSMIUM,10009.0,2,buy,9993,10,10009,10,16,10001.0,0.0,0.0,0.0,0.0,33300
R1,411200,INTARIAN_PEPPER_ROOT,13415.0,7,sell,13415,7,13422,20,7,13418.5,-0.48148148148148145,-1.5,-8.0,-2.5,4800
R1,411300,INTARIAN_PEPPER_ROOT,13415.0,7,sell,13415,7,13419,10,4,13417.0,-0.17647058823529413,-5.5,-4.5,-0.5,100
R1,412500,ASH_COATED_OSMIUM,10009.0,4,buy,9993,10,10009,10,16,10001.0,0.0,0.0,2.5,-2.0,2000
R1,415700,INTARIAN_PEPPER_ROOT,13419.0,3,sell,13419,3,13423,10,4,13421.0,-0.5384615384615384,-5.0,-4.5,-0.5,4400
R1,419900,INTARIAN_PEPPER_ROOT,13423.0,6,sell,13423,6,13430,19,7,13426.5,-0.52,-6.5,-5.5,-1.5,4200
R1,424500,INTARIAN_PEPPER_ROOT,13428.0,7,sell,13428,7,13435,15,7,13431.5,-0.36363636363636365,-5.5,-4.5,-2.0,4600
R1,431000,INTARIAN_PEPPER_ROOT,13435.0,5,sell,13435,5,13442,25,7,13438.5,-0.6666666666666666,-7.5,-6.5,-4.5,6500
R1,433500,INTARIAN_PEPPER_ROOT,13441.0,7,buy,13426,11,13441,11,15,13433.5,0.0,0.0,-1.5,5.0,2500
R1,435300,INTARIAN_PEPPER_ROOT,13431.0,4,buy,13428,11,13431,8,3,13429.5,0.15789473684210525,6.0,5.5,11.0,1800
R1,438000,INTARIAN_PEPPER_ROOT,13433.0,7,buy,13431,11,13433,7,2,13432.0,0.2222222222222222,6.0,7.0,11.0,2700
R1,439100,INTARIAN_PEPPER_ROOT,13432.0,7,sell,13432,10,13446,10,14,13439.0,0.0,-1.5,1.0,5.0,1100
R1,452000,ASH_COATED_OSMIUM,10007.0,5,None,0,0,0,0,0,0,0.0,nan,nan,nan,39500
R1,455200,INTARIAN_PEPPER_ROOT,13451.0,4,buy,13448,11,13451,6,3,13449.5,0.29411764705882354,6.0,6.5,10.5,16100
R1,456500,INTARIAN_PEPPER_ROOT,13449.0,4,sell,13449,8,13464,8,15,13456.5,0.0,1.5,1.0,5.0,1300
R1,460100,ASH_COATED_OSMIUM,10007.0,2,None,0,0,0,0,0,0,0.0,nan,nan,nan,8100
R1,465300,INTARIAN_PEPPER_ROOT,13469.0,8,sell,13469,8,13473,10,4,13471.0,-0.1111111111111111,-5.5,-4.5,-0.5,8800
R1,468500,ASH_COATED_OSMIUM,9991.0,5,None,0,0,0,0,0,0,0.0,nan,nan,nan,8400
R1,478700,INTARIAN_PEPPER_ROOT,13471.0,4,sell,13471,8,13486,8,15,13478.5,0.0,0.5,1.0,5.0,13400
R1,483700,INTARIAN_PEPPER_ROOT,13476.0,7,sell,13476,9,13491,9,15,13483.5,0.0,-7.5,1.0,6.5,5000
R1,484800,INTARIAN_PEPPER_ROOT,13478.0,7,sell,13478,9,13492,9,14,13485.0,0.0,-2.0,1.0,3.0,1100
R1,485100,INTARIAN_PEPPER_ROOT,13478.0,6,sell,13478,9,13492,9,14,13485.0,0.0,2.0,-1.0,5.0,300
R1,490600,ASH_COATED_OSMIUM,10002.0,5,buy,9986,12,10002,12,16,9994.0,0.0,0.0,-1.0,0.0,22100
R1,490900,INTARIAN_PEPPER_ROOT,13494.0,5,sell,13494,5,13502,25,8,13498.0,-0.6666666666666666,-7.0,-8.0,-2.0,5800
R1,491300,INTARIAN_PEPPER_ROOT,13484.0,6,sell,13484,8,13499,8,15,13491.5,0.0,0.0,-0.5,8.5,400
R1,491900,ASH_COATED_OSMIUM,10002.0,4,buy,9986,12,10002,12,16,9994.0,0.0,1.0,1.0,1.0,1300
R1,496000,ASH_COATED_OSMIUM,9986.0,4,sell,9986,13,10002,13,16,9994.0,0.0,1.0,1.0,1.0,4100
R1,496200,INTARIAN_PEPPER_ROOT,13489.0,5,sell,13489,10,13492,5,3,13490.5,0.3333333333333333,9.5,5.0,10.5,4900
R1,496200,INTARIAN_PEPPER_ROOT,13492.0,5,buy,13489,10,13492,5,3,13490.5,0.3333333333333333,9.5,5.0,10.5,0
R1,497500,ASH_COATED_OSMIUM,9984.0,6,sell,9984,20,10005,20,21,9994.5,0.0,0.5,1.5,3.5,1500
R1,498400,ASH_COATED_OSMIUM,9988.0,5,sell,9988,12,10006,23,18,9997.0,-0.3142857142857143,-1.0,-1.0,-3.0,900
R1,505800,ASH_COATED_OSMIUM,9990.0,3,sell,9990,12,10009,22,19,9999.5,-0.29411764705882354,-1.5,0.5,-0.5,7400
R1,505900,ASH_COATED_OSMIUM,9990.0,8,sell,9990,10,10006,10,16,9998.0,0.0,-0.5,2.0,-0.5,100
R1,506200,INTARIAN_PEPPER_ROOT,13502.0,5,buy,13499,10,13502,5,3,13500.5,0.3333333333333333,6.0,6.5,10.5,10000
R1,517600,ASH_COATED_OSMIUM,10005.0,4,sell,10005,5,10011,15,6,10008.0,-0.5,-6.0,-5.0,-5.0,11700
R1,520500,INTARIAN_PEPPER_ROOT,13514.0,4,sell,13513,8,13516,4,3,13514.5,0.3333333333333333,7.5,7.0,11.0,14300
R1,524600,INTARIAN_PEPPER_ROOT,13532.0,4,buy,13517,10,13532,10,15,13524.5,0.0,0.0,1.0,3.5,4100
R1,536000,ASH_COATED_OSMIUM,9988.0,5,sell,9988,14,10004,14,16,9996.0,0.0,-1.5,-2.0,0.5,18400
R1,536700,ASH_COATED_OSMIUM,9986.0,3,sell,9986,14,10002,14,16,9994.0,0.0,0.0,-5.0,2.0,700
R1,537500,ASH_COATED_OSMIUM,9986.0,2,sell,9986,11,10002,11,16,9994.0,0.0,0.0,-1.0,3.0,800
R1,537500,INTARIAN_PEPPER_ROOT,13541.0,4,sell,13541,4,13545,10,4,13543.0,-0.42857142857142855,-5.5,-4.5,-2.0,12900
R1,538600,ASH_COATED_OSMIUM,10002.0,5,buy,9983,26,10002,11,19,9992.5,0.40540540540540543,1.5,2.5,-1.0,1100
R1,540700,INTARIAN_PEPPER_ROOT,13536.0,5,buy,13533,9,13536,7,3,13534.5,0.125,6.5,7.0,11.0,3200
R1,544300,INTARIAN_PEPPER_ROOT,13538.0,3,sell,13537,8,13540,4,3,13538.5,0.3333333333333333,11.5,9.0,11.0,3600
R1,545000,INTARIAN_PEPPER_ROOT,13540.0,4,buy,13538,12,13540,4,2,13539.0,0.5,6.0,5.0,11.0,700
R1,547800,INTARIAN_PEPPER_ROOT,13543.0,3,buy,13541,11,13543,3,2,13542.0,0.5714285714285714,6.0,5.0,9.0,2800
R1,549900,ASH_COATED_OSMIUM,9991.0,3,sell,9991,11,10007,11,16,9999.0,0.0,-1.0,-3.5,-2.5,11300
R1,553100,ASH_COATED_OSMIUM,9989.0,4,sell,9989,10,10005,10,16,9997.0,0.0,-1.0,0.0,0.0,3200
R1,553400,ASH_COATED_OSMIUM,9989.0,3,sell,9989,11,10005,11,16,9997.0,0.0,1.0,-6.5,-1.5,300
R1,564600,ASH_COATED_OSMIUM,9991.0,10,sell,9991,10,10007,10,16,9999.0,0.0,0.0,0.0,-1.0,11200
R1,574500,ASH_COATED_OSMIUM,10002.0,2,buy,9990,30,10002,2,12,9996.0,0.875,5.0,3.0,2.5,9900
R1,576300,INTARIAN_PEPPER_ROOT,13569.0,6,sell,13569,9,13587,22,18,13578.0,-0.41935483870967744,-7.5,-0.5,2.0,28500
R1,576400,INTARIAN_PEPPER_ROOT,13572.0,3,buy,13569,12,13572,3,3,13570.5,0.6,6.0,7.0,9.5,100
R1,579800,ASH_COATED_OSMIUM,10002.0,4,buy,9992,13,10008,13,16,10000.0,0.0,0.0,0.0,-1.0,5300
R1,583000,INTARIAN_PEPPER_ROOT,13576.0,5,sell,13576,10,13594,23,18,13585.0,-0.3939393939393939,-2.0,1.0,3.0,6600
R1,584800,INTARIAN_PEPPER_ROOT,13580.0,7,buy,13574,22,13580,7,6,13577.0,0.5172413793103449,2.0,10.5,13.0,1800
R1,590500,ASH_COATED_OSMIUM,9992.0,2,sell,9992,11,10011,20,19,10001.5,-0.2903225806451613,0.0,-2.5,-0.5,10700
R1,591600,INTARIAN_PEPPER_ROOT,13584.0,6,sell,13584,8,13599,8,15,13591.5,0.0,-1.5,1.0,6.5,6800
R1,593300,ASH_COATED_OSMIUM,9991.0,7,sell,9991,12,10010,24,19,10000.5,-0.3333333333333333,-4.5,-2.5,0.5,2800
R1,600000,INTARIAN_PEPPER_ROOT,13604.0,7,sell,13604,7,13611,15,7,13607.5,-0.36363636363636365,-7.5,-6.5,-4.5,8400
R1,603000,INTARIAN_PEPPER_ROOT,13607.0,6,sell,13607,6,13614,19,7,13610.5,-0.52,-7.5,-6.5,-2.5,3000
R1,608000,INTARIAN_PEPPER_ROOT,13601.0,7,sell,13601,12,13615,12,14,13608.0,0.0,0.0,1.0,5.0,5000
R1,609900,INTARIAN_PEPPER_ROOT,13605.0,6,buy,13603,10,13605,6,2,13604.0,0.25,6.0,5.0,11.0,1900
R1,610900,INTARIAN_PEPPER_ROOT,13600.0,5,sell,13600,23,13618,12,18,13609.0,0.3142857142857143,0.0,5.0,5.0,1000
R1,612200,INTARIAN_PEPPER_ROOT,13605.0,3,None,0,0,0,0,0,0,0.0,nan,nan,nan,1300
R1,613300,INTARIAN_PEPPER_ROOT,13606.0,5,sell,13606,12,13624,22,18,13615.0,-0.29411764705882354,-1.5,-0.5,3.5,1100
R1,613500,INTARIAN_PEPPER_ROOT,13606.0,3,sell,13606,9,13621,9,15,13613.5,0.0,0.0,1.0,5.0,200
R1,614000,INTARIAN_PEPPER_ROOT,13607.0,4,sell,13607,11,13621,11,14,13614.0,0.0,0.0,1.0,5.0,500
R1,616300,INTARIAN_PEPPER_ROOT,13612.0,5,buy,13609,12,13612,5,3,13610.5,0.4117647058823529,4.5,5.5,11.0,2300
R1,616400,ASH_COATED_OSMIUM,10009.0,8,None,0,0,0,0,0,0,0.0,nan,nan,nan,23100
R1,616400,INTARIAN_PEPPER_ROOT,13606.0,3,sell,13606,15,13624,10,18,13615.0,0.2,1.5,-3.5,6.5,100
R1,618600,INTARIAN_PEPPER_ROOT,13611.0,6,sell,13611,11,13626,11,15,13618.5,0.0,0.0,1.0,3.5,2200
R1,627600,ASH_COATED_OSMIUM,9992.0,5,sell,9992,14,10008,14,16,10000.0,0.0,-1.0,-2.0,-4.0,11200
R1,629500,INTARIAN_PEPPER_ROOT,13623.0,4,sell,13622,8,13637,8,15,13629.5,0.0,1.5,-0.5,5.0,10900
R1,629900,ASH_COATED_OSMIUM,9995.0,2,sell,9995,4,10005,11,10,10000.0,-0.4666666666666667,-4.0,-3.0,-2.0,2300
R1,630500,INTARIAN_PEPPER_ROOT,13620.0,4,sell,13620,24,13638,9,18,13629.0,0.45454545454545453,1.5,2.5,6.5,1000
R1,631400,INTARIAN_PEPPER_ROOT,13624.0,5,sell,13624,10,13639,10,15,13631.5,0.0,0.0,4.5,3.5,900
R1,633400,INTARIAN_PEPPER_ROOT,13623.0,3,sell,13623,16,13641,9,18,13632.0,0.28,1.5,2.5,5.0,2000
R1,633800,ASH_COATED_OSMIUM,9988.0,3,sell,9988,11,10004,11,16,9996.0,0.0,1.0,2.0,-3.0,3900
R1,634800,INTARIAN_PEPPER_ROOT,13630.0,6,buy,13627,9,13630,6,3,13628.5,0.2,8.5,5.5,11.0,1400
R1,649200,INTARIAN_PEPPER_ROOT,13642.0,4,None,0,0,0,0,0,0,0.0,nan,nan,nan,14400
R1,651300,ASH_COATED_OSMIUM,9988.0,6,sell,9988,15,10004,15,16,9996.0,0.0,1.0,1.0,3.0,17500
R1,656900,ASH_COATED_OSMIUM,9996.0,4,buy,9988,29,9996,8,8,9992.0,0.5675675675675675,6.0,6.0,9.0,5600
R1,657800,INTARIAN_PEPPER_ROOT,13661.0,5,sell,13661,5,13669,24,8,13665.0,-0.6551724137931034,-7.0,-6.5,-4.0,8600
R1,658300,ASH_COATED_OSMIUM,9991.0,2,sell,9991,13,10007,13,16,9999.0,0.0,0.0,0.0,0.0,1400
R1,660500,ASH_COATED_OSMIUM,9992.0,5,sell,9992,14,10008,14,16,10000.0,0.0,1.0,0.0,-1.0,2200
R1,666200,ASH_COATED_OSMIUM,9990.0,7,sell,9990,13,10006,13,16,9998.0,0.0,-0.5,1.0,-3.0,5700
R1,666500,ASH_COATED_OSMIUM,9991.0,3,sell,9991,12,10010,27,19,10000.5,-0.38461538461538464,-0.5,-1.5,-5.5,300
R1,666500,INTARIAN_PEPPER_ROOT,13662.0,3,buy,13659,11,13662,7,3,13660.5,0.2222222222222222,6.0,7.0,12.5,8700
R1,669200,INTARIAN_PEPPER_ROOT,13662.0,3,sell,13662,11,13677,11,15,13669.5,0.0,0.0,1.0,5.0,2700
R1,669900,INTARIAN_PEPPER_ROOT,13665.0,7,buy,13663,9,13665,7,2,13664.0,0.125,6.0,7.0,11.0,700
R1,670100,INTARIAN_PEPPER_ROOT,13663.0,6,sell,13663,10,13677,10,14,13670.0,0.0,0.5,1.0,9.0,200
R1,670400,INTARIAN_PEPPER_ROOT,13660.0,5,sell,13660,22,13681,22,21,13670.5,0.0,0.0,-0.5,6.5,300
R1,673000,ASH_COATED_OSMIUM,10001.0,5,buy,9985,11,10001,11,16,9993.0,0.0,-1.0,-1.0,-2.0,6500
